FLUORURO SODICO;SODIUM FLUORIDE
BENZALCONIO CLORURO+ALUMINIO-POTASIO SULFATO; BENZALKONIUM CHLORIDE + ALUMINUM-POTASSIUM SULFATE
NEOMICINA CON CORTICOIDE; NEOMYCIN WITH CORTICOID
ANTISEPTICOS CON CORTICOSTEROIDES NE; ANTISEPTIC WITH CORTICOSTEROIDS NE
METILERGOMETRINA; METHYLERGOMETRINE
DINOPROST; DINOPROST
DINOPROSTONA; DINOPROSTON
GEMEPROST; GEMEPROST
CARBOPROST; CARBOPROST
SULPROSTONA; SULPROSTON
MISOPROSTOL; MISOPROSTOL
DISPOSITIVO INTRAUTERINO CON PROGESTAGENOS; INTRAUTERINE DEVICE WITH PROGESTAGENS
ANILLO VAGINAL CON PROGESTAGENO Y ESTROGENO;Vaginal ring with progestogen and estrogen
ANTICONCEPTIVOS INTRAVAGINALES NE; INTRAVAGINAL CONTRACEPTIVES NE
RITODRINA; RITODRINE
BROMOCRIPTINA; BROMOCRIPTINE
LISURIDA; LISURIDE
CABERGOLINA; CABERGOLINE
QUINAGOLIDA; QUINAGOLIDE
IBUPROFENO; IBUPROFEN
BENCIDAMINA; Benzydamine
TETRIDAMINA; TETRIDAMINE
ATOSIBAN; ATOSIBAN
VITEX AGNUS CASTUS FRUTO; VITEX AGNUS CASTUS FRUIT
RIZOMA DE CIMICIFUGA; Black cohosh rhizome
SOJA EXTRACTO; SOY EXTRACT
SOJA EXTRACTO + TREBOL ROJO; SOY EXTRACT + RED CLOVER
OTROS PREPARADOS GINECOLOGICOS NE; OTHER GYNECOLOGICAL PREPARATIONS NE
LINESTRENOL ASOCIADO A ESTROGENO; LINESTRENOL ASSOCIATED WITH ESTROGEN
NORGESTREL ASOCIADO A ESTROGENO; NORGESTREL ASSOCIATED WITH ESTROGEN
LEVONORGESTREL ASOCIADO A ESTROGENO; Levonorgestrel associated with estrogen
DESOGESTREL ASOCIADO A ESTROGENO; DESOGESTREL ASSOCIATED WITH ESTROGEN
GESTODENO ASOCIADO A ESTROGENO; GESTODENE ASSOCIATED WITH ESTROGEN
NORGESTIMATO ASOCIADO A ESTROGENO; NORGESTIMATE ASSOCIATED WITH ESTROGEN
DROSPIRENONA ASOCIADO A ESTROGENO; DROSPIRENONE ASSOCIATED WITH ESTROGEN
NORELGESTROMINA+ESTROGENO; NORELGESTROMIN+ESTROGEN
NOMEGESTROL+ESTROGENO; Nomegestrol+Estrogen
CLORMADINONA Y ESTROGENO; CHLORMADINONE AND ESTROGEN
DIENOGEST Y ETINILESTRADIOL; DIENOGEST AND ETHINYLESTRADIOL
ALGESTONA ASOCIADO A ESTROGENO; ALGESTONE ASSOCIATED WITH ESTROGEN
CLORMADINONA ASOCIADA A ESTROGENO; CHLORMADINONE ASSOCIATED WITH ESTROGEN
PROGESTAGENOS Y ESTROGENOS EN COMBINACIONES FIJAS NE; PROGESTAGENS AND ESTROGENS IN FIXED COMBINATIONS NE
LEVONORGESTREL ASOCIADO A ESTROGENO; Levonorgestrel associated with estrogen
DESOGESTREL ASOCIADO A ESTROGENO; DESOGESTREL ASSOCIATED WITH ESTROGEN
GESTODENO ASOCIADO A ESTROGENO; GESTODENE ASSOCIATED WITH ESTROGEN
DIENOGEST ASOCIADO A ESTROGENO (PREP. SECUENCIALES); ESTROGEN-ASSOCIATED DIENOGEST (Sequential Prescriptions)
PROGESTAGENOS Y ESTROGENOS, COMBINAC. SECUENCIALES NE; PROGESTAGENS AND ESTROGENS, SEQUENTIAL COMBINATION NE
LEVONORGESTREL; LEVONORGESTREL
MEDROXIPROGESTERONA; MEDROXIPROGESTERONE
ETONOGESTREL; ETONOGESTREL
DESOGESTREL;DESOGESTREL
DROSPIRENONA; DROSPIRENONE
LEVONORGESTREL; LEVONORGESTREL
ULIPRISTAL; ULIPRISTAL
TESTOSTERONA; TESTOSTERONE
MESTEROLONA; Mesterolone
ANDROSTANOLONA; ANDROSTANOLONE
ETINILESTRADIOL; ETHINYLESTRADIOL
ESTRADIOL; ESTRADIOL
ESTRIOL; ESTRIOL
CLOROTRIANISENO; CHLOROTRIANISENE
ESTRONA; Estrone
PROMESTRIENO; PROMESTRIENE
ESTROGENOS CONJUGADOS; CONJUGATED ESTROGENS
POLIESTRIOL; POLYESTRIOL
ESTROGENOS CONJUGADOS Y BAZEDOXIFENO; CONJUGATED ESTROGENS AND BAZEDOXIFENE
ESTROGENOS, COMBINACIONES CON OTROS FARMACOS NE; ESTROGENS, COMBINATIONS WITH OTHER DRUGS NE
TIBOLONA; TIBOLONE
GESTONORONA; GESTONORONA
MEDROXIPROGESTERONA; MEDROXIPROGESTERONE
HIDROXIPROGESTERONA; HYDROXYPROGESTERONE
PROGESTERONA; PROGESTERONE
DIDROGESTERONA; Dydrogesterone
MEGESTROL; MEGESTROL
MEDROGESTONA; MEDROGESTONA
DIENOGEST; DIENOGEST
ALILESTRENOL; ALLYLESTRENOL
NORETISTERONA; NORETHISTERONE
LINESTRENOL; LINESTRENOL
ETISTERONA; ETHISTERONE
LINESTRENOL; LINESTRENOL
METILESTRENOLONA; METHYLESTRENOLONE
DERIVADOS DEL ESTRENO (PROGESTAGENOS) NE; DERIVATIVES OF PREMIUM (PROGESTAGENS) NE
METILTESTOSTERONA ASOCIADA A ESTROGENO; METHYLTESTOSTERONE ASSOCIATED WITH ESTROGEN
PRASTERONA ASOCIADA A ESTROGENO; PRASTERONE ASSOCIATED WITH ESTROGEN
NORETISTERONA Y ESTROGENO (ASOC. FIJA); NORETHISTERONE AND ESTROGEN (FIXED ASSOCIATION)
NORGESTREL Y ESTROGENO (ASOC. FIJA); NORGESTREL AND ESTROGEN (FIXED ASSOCIATION)
LEVONORGESTREL Y ESTROGENO (ASOC. FIJA); LEVONORGESTREL AND ESTROGEN (FIXED ASSOCIATION)
MEDROXIPROGESTERONA ASOCIADO A ESTROGENO; MEDROXIPROGESTERONE ASSOCIATED WITH ESTROGEN
NORGESTIMATO Y ESTROGENO (ASOC. FIJA); NORGESTIMATE AND ESTROGEN (FIXED ASSOCIATION)
DIENOGEST Y ESTROGENO (ASOC. FIJA); DIENOGEST AND ESTROGEN (FIXED ASSOCIATION)
DROSPIRENONA ASOCIADO A ESTROGENO; DROSPIRENONE ASSOCIATED WITH ESTROGEN
PROGESTAGENOS Y ESTROGENOS EN ASOCIACION NE; PROGESTAGENS AND ESTROGENS IN ASSOCIATION NE
NORGESTREL Y ESTROGENO; NORGESTREL AND ESTROGEN
NORETISTERONA ASOCIADA A ESTROGENO (PREP. SECUENCIALES);NORETHISTERONE ASSOCIATED WITH ESTROGEN (Sequential Prescriptions)
MEDROXIPROGESTERONA Y ESTROGENO (PREP. SECUENCIALES); MEDROXIPROGESTERONE AND ESTROGEN (Sequential Prescriptions)
LEVONORGESTREL ASOCIADO A ESTROGENO; Levonorgestrel associated with estrogen
TRIMEGESTONA ASOCIADO A ESTROGENO; TRIMEGESTONE ASSOCIATED WITH ESTROGEN
PROGESTAGENOS Y ESTROGENOS, PREPARADOS SECUENCIALES NE; PROGESTAGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS NE
GONADOTROFINA CORIONICA (HCG); CHORIONIC GONADOTROPHIN (HCG)
GONADOTROFINA MENOPAUSIA HUMANA (HMG); HUMAN MENOPAUSE GONADOTROPHIN (HMG)
GONADOTROPINA SERICA; SERUM GONADOTROPIN
UROFOLITROPINA; UROFOLITROPIN
FOLITROPINA ALFA; FOLLITROPIN ALPHA
FOLITROPINA BETA; FOLLITROPIN BETA
LUTROPINA ALFA; Lutropin Alpha
CORIOGONADOTROPINA ALFA; Choriogonadotropin Alpha
CORIFOLITROPINA ALFA; CORIFOLITROPINA ALPHA
FOLITROPINA DELTA; DELTA FOLITROPIN
COMBINACIONES; COMBINATIONS
CICLOFENIL; CYCLOPHENYL
CLOMIFENO; Clomiphene
EPIMESTROL; EPIMESTROL
CIPROTERONA; CYPROTERONE
CIPROTERONA ASOCIADA A ESTROGENO; CYPROTERONE ASSOCIATED WITH ESTROGEN
DANAZOL; DANAZOLE
GESTRINONA; GESTRINONE
MIFEPRISTONA; MIFEPRISTONE
ULIPRISTAL; ULIPRISTAL
RALOXIFENO; RALOXIFENE
BAZEDOXIFENO; BAZEDOXIFENE
LASOFOXIFENO; LASOFOXYFEN
OSPEMIFENO; OSPEMIFEN
MODULADORES SELECTIVOS DE RECEPTORES DE ESTROGENOS NE; SELECTIVE ESTROGEN RECEPTOR MODULATORS NE
PRASTERONA; PRASTERONE
SODIO BICARBONATO; SODIUM BICARBONATE
POTASIO CITRATO; POTASSIUM CITRATE
POTASIO CITRATO + CITRICO ACIDO; POTASSIUM CITRATE + CITRUS ACID
EMEPRONIO BROMURO; EMEPRONIUM BROMIDE
FLAVOXATO; FLAVOXATE
MEDRALAZINA; MEDRALAZINE
OXIBUTININA; OXYBUTYNIN
TEROLIDINA; TEROLIDINE
PROPIVERINA; PROPIVERINE
TOLTERODINA; TOLTERODINE
SOLIFENACINA; SOLIFENACIN
TROSPIO; TROSPIO
DARIFENACINA; DARIFENACIN
FESOTERODINA; FESOTERODINE
MIRABEGRON;MIRABEGRON
DESFESOTERODINA; DESFESOTERODINE
ANTIESPASMODICOS URINARIOS NE; URINARY ANTISPASMODICS NE
ALPROSTADILO; ALPROSTADIL
PAPAVERINA; PAPAVERINE
SILDENAFILO; SILDENAFIL
YOHIMBINA; YOHIMBINE
FENTOLAMINA; Phentolamine
MOXISILITA; MOXISILITE
APOMORFINA; APOMORPHYN
TADALAFILO; TADALAFIL
VARDENAFILO; VARDENAFIL
AVANAFILO; AVANAFIL
COMBINACIONES (SUST.DISFUNCION ERECTIL); COMBINATIONS (NOUN: ERECTILE DYSFUNCTION)
MEDICAMENTOS USADOS EN DISFUNCIONES ERECTILES NE; MEDICINES USED IN ERECTILE DYSFUNCTIONS NE
MAGNESIO HIDROXIDO; MAGNESIUM HYDROXIDE
ACETOHIDROXAMICO ACIDO; ACETOHYDROXAMIC ACID
FENAZOPIRIDINA; PHENAZOPYRIDINE
SUCCINIMIDA; SUCCINIMIDE
COLAGENO; COLLAGEN
DIMETIL SULFOXIDO; DIMETHYL SULFOXIDE
DAPOXETINA; DAPOXETINE
LESPEDEZA CAPITATA; LESPEDEZA CAPITATA
QUERCUS LUSITANICA, EXTO; QUERCUS LUSITANICA, EXTRACT
RUBIA TINCTORUM EN ASOCIACION; RUBIA TINCTORUM IN ASSOCIATION
ALUMBRE AMONICO; AMMONIUM ALUM
HIALURONICO ACIDO; HYALURONIC ACID
OTROS UROLOGICOS NE; OTHER UROLOGICAL NE
ALFUZOSINA; ALFUZOSINS
TAMSULOSINA; TAMSULOSIN
TERAZOSINA; TERAZOSIN
SILODOSINA; SILODOSIN
ALFUZOSINA+FINASTERIDA; ALFUZOSIN+FINASTERIDE
TAMSULOSINA+DUTASTERIDA; TAMSULOSIN+DUTASTERIDE
TAMSULOSINA Y SOLIFENACINA; TAMSULOSIN AND SOLIFENACIN
ANTAGONISTAS ALFA-ADRENOCEPTORES (HIPERPLASIA PROSTATICA) NE; ALPHA-ADRENOCEPTOR ANTAGONISTS (PROSTATIC HYPERPLASIA) NE
FINASTERIDA; FINASTERIDE
DUTASTERIDA; Dutasteride
INHIBIDORES TESTOSTERONA-5-ALFA REDUCTASA (HIPERPLA.PROSTAT) NE; TESTOSTERONE-5-ALPHA REDUCTASE INHIBITORS (HYPERPLA.PROSTAT) NE
COMBINACIÃ¯Â¿Â½N DE MEDICAMENTOS UTILIZADOS EN LA HIPERPLASIA BENIGNA DE PRÃ¯Â¿Â½STATA; COMBINATION OF MEDICINES USED IN BENIGN PROSTATE HYPERPLASIA
PYGEUM AFRICANA EXTO; PYGEUM AFRICANA EXTO
SERENOA REPENS EXTO; SERENOA REPENS EXTO
MEPARTRICINA; Mepartricin
PYGEUM AFRICANUM EN ASOCIACION; PYGEUM AFRICANUM IN ASSOCIATION
SERENOA REPENS EN ASOCIACION;SERENOA REPENS IN ASSOCIATION
PROSTATA EXTO; PROSTATE EXTREMITY
EXTOS.ANTIADENOMA PROSTATA EN ASOCIACION; EXTOS.ANTIADENOMA PROSTATE IN ASSOCIATION
OTROS MDTOS. PARA HIPERTROFIA PROSTATICA BENIGNA NE; OTHER METHODS. FOR BENIGN PROSTATIC HYPERTROPHY NE
CORTICOTROFINA; CORTICOTROPHIN
TETRACOSACTIDA; TETRACOSACTIDE
SOMATROPINA; SOMATROPIN
SOMATREM; SOMATREM
MECASERMINA; MECASERMINA
SERMORELINA; SERMORELIN
MECASERMINA RINFABATO; Mecasermine Rinphabate
PEGVISOMANT; PEGVISOMANT
VASOPRESINA; Vasopressin
DESMOPRESINA; DESMOPRESSIN
LIPRESINA; LIPRESSINE
TERLIPRESINA; TERLIPRESIN
ORNIPRESINA; ORNIPRESSIN
DEMOXITOCINA; DEMOXYTOCIN
OXITOCINA; OXYTOCIN
CARBETOCINA; CARBETOCIN
GONADORELINA; GONADORELIN
NAFARELINA; NAFARELIN
HISTRELINA; HISTRELIN
SOMATOSTATINA; SOMATOSTATIN
OCTREOTIDA; OCTREOTIDE
LANREOTIDA; LANREOTIDE
VAPREOTIDA; VAPREOTIDE
PASIREOTIDA; PASIREOTIDE
GANIRELIX; GANIRELIX
CETRORELIX; CETRORELIX
FLUDROCORTISONA; FLUDROCORTISONE
BETAMETASONA; BETAMETHASONE
DEXAMETASONA; Dexamethasone
FLUOCORTOLONA; FLUOCORTOLONE
METILPREDNISOLONA; METHYLPREDNISOLONE
PARAMETASONA; PARAMETHASONE
PREDNISOLONA; PREDNISOLONE
PREDNISONA; PREDNISONE
TRIAMCINOLONA; TRIAMCINOLONE
HIDROCORTISONA; HYDROCORTISONE
CORTISONA; CORTISONE
DEFLAZACORT; DEFLAZACORT
BUDESONIDA; BUDESONIDE
BETAMETASONA+DEXCLORFENIRAMINA; BETAMETHASONE+DEXCHLORPHENYRAMINE
DEXAMETASONA+CLEMASTINA; DEXAMETHASONE+CLEMASTINE
PREDNISOLONA+CLORFENAMINA; PREDNISOLONE+CHLORPHENAMINE
LEVOTIROXINA SODICA; LEVOTHYROXINE SODIUM
LIOTIRONINA SODICA; Liothyronine sodium
ASOCIACION DE LEVOTIRONINA Y LIOTIRONINA; ASSOCIATION OF LEVOTHYRONINE AND LIOTHYRONINE
TIRATRICOL; TIRATRICOL
PREPARADOS DE GLANDULA TIDOIDEA; THIODIN GLAND PREPARATIONS
TIROGLOBULINA; THYROGLOBULIN
PROPILTIOURACILO; PROPYLTHIOURACIL
CARBIMAZOL;CARBIMAZOLE
TIAMAZOL; THIAMAZOLE
TIAMAZOL EN ASOCIACION; THIAMAZOLE IN ASSOCIATION
PERCLORATO POTASICO; Potassium perchlorate
DIIODOTIROSINA; DIIODOTYROSINE
IODURO POTASICO; POTASSIUM IODIDE
IODURO POTASICO+VITAMINA B12+FOLICO ACIDO; POTASSIUM IODIDE+VITAMIN B12+FOLIC ACID
IODOTERAPIA (TERAPIA DEL TIROIDES) NE; IODOTERAPY (THYROID THERAPY) NE
GLUCAGON; GLUCAGON
EXTRACTO DE GLANDULA PARATIROIDEA; PARATHYROID GLAND EXTRACT
TERIPARATIDA; TERIPARATIDE
HORMONA PARATIROIDEA; PARATHYROID HORMONE
CALCITONINA SALMON SINTETICA; SYNTHETIC SALMON CALCITONIN
CALCITONINA CERDO NATURAL; NATURAL PORK CALCITONIN
CALCITONINA HUMANA SINTETICA; SYNTHETIC HUMAN CALCITONIN
ELCATONINA; ELCATONINA
CINACALCET; CINACALCET
PARICALCITOL; PARICALCITOL
DOXERCALCIFEROL; DOXERCALCIFEROL
ETELCALCETIDA; ETELCALCETIDA
DEMECLOCICLINA; DEMECLOCYCLINE
DOXICICLINA; DOXYCYCLINE
CLORTETRACICLINA; Chlortetracycline
LIMECICLINA; LYMECYCLINE
OXITETRACICLINA; Oxytetracycline
TETRACICLINA; TETRACYCLINE
MINOCICLINA; MINOCYCLINE
ROLITETRACICLINA; ROLITETRACYCLINE
PENIMEPICICLINA; PENIMEPICICLINE
TIGECICLINA; TIGECYCLINE
TETRACICLINAS EN ASOCIACION; TETRACYCLINES IN ASSOCIATION
DEMECLOCICLINA+ENZIMAS; DEMECLOCYCLINE+ENZYMES
DOXICICLINA+ENZIMAS; DOXYCYCLINE+ENZYMES
LIMECICLINA+ENZIMAS; LYMECYCLINE+ENZYMES
TETRACICLINA+ENZIMAS; TETRACYCLINE + ENZYMES
TETRACICLINA+BENCIDAMINA; TETRACYCLINE+BENZYDAMINE
TETRACICLINAS (ANTIINFECCIOSOS USO SISTEMICO) NE; TETRACYCLINES (ANTI-INFECTIVES SYSTEMIC USE) NE
CLORAMFENICOL; Chloramphenicol
TIAMFENICOL; Thiamphenicol
TIAMFENICOL EN ASOCIACION; THIAMPHENICOL IN ASSOCIATION
AMPICILINA; AMPICILLIN
PIVAMPICILINA; PIVAMPICILIN
CARBENICILINA; Carbenicillin
AMOXICILINA; AMOXICILLIN
CARINDACILINA; CARINDACILLIN
BACAMPICILINA; Bacampicillin
PIVMECILINAM;PIVMECILINAM
AZLOCILINA; AZLOCILLIN
MEZLOCILINA; MEZLOCILLIN
MECILLINAM; MECILLINAM
PIPERACILINA; Piperacillin
TICARCILINA; TICARCILLIN
METAMPICILINA; METAMPICILIN
TALAMPICILINA; TALAMPICILIN
TEMOCILINA; TEMOCILLINE
ASPOXICILINA; ASPOXICILLIN
AMPICILINA EN ASOCIACION; AMPICILLIN IN ASSOCIATION
AMOXICILINA EN ASOCIACION; AMOXICILLIN IN ASSOCIATION
METAMPICILINA EN ASOCIACION; METAMPICILIN IN ASSOCIATION
AMPICILINA Y AMPICILINA-BENZATINA, COMBINACIONES CON; AMPICILLIN AND AMPICILLIN-BENZATHINE, COMBINATIONS WITH
BENCILPENICILINA; Benzylpenicillin
FENOXIMETILPENICILINA; PHENOXYMETHYLPENICILLIN
BENCILPENICILINA-BENZATINA; BENZYLPENICILLIN-BENZATHINE
BENCILPENICILINA-PROCAINA; BENZYLPENICILLIN-PROCAINE
FENOXIMETILPENICILINA-BENZATINA; PHENOXYMETHYLPENICILLINE-BENZATHINE
PENICILINAS SENSIBLES A BETA-LACTAMASA EN ASOCIACION; PENICILLINS SENSITIVE TO BETA-LACTAMASE IN ASSOCIATION
BENCILPENICILINA Y BENCILPENICILINA-CLEMIZOL, COMBINACIONES; BENZYLPENICILLIN AND BENZYLPENICILLIN-CLEMIZOL, COMBINATIONS
DICLOXACILINA; Dicloxacillin
CLOXACILINA; CLOXACILLIN
FLUCLOXACILINA; FLUCLOXACILLIN
SULBACTAM; SULBACTAM
TAZOBACTAM; TAZOBACTAM
AMPICILINA+SULBACTAM; AMPICILLIN+SULBACTAM
AMOXICILINA+CLAVULANICO ACIDO; AMOXICILLIN+CLAVULANIC ACID
TICARCILINA+CALVULANICO ACIDO; TICARCILLIN+CALVULANIC ACID
SULTAMICILINA; SULTAMICILLIN
PIPERACILINA+TAZOBACTAM; Piperacillin + Tazobactam
CEFALEXINA; Cephalexin
CEFALORIDINA; Cephaloridine
CEFALOTINA; Cephalothin
CEFAZOLINA; CEFAZOLIN
CEFADROXILO; CEFADROXIL
CEFAZEDONA; CEFAZEDONE
CEFATRIZINA; CEFATRIZINE
CEFAPIRINA; Cephapirin
CEFRADINA; CEPHRADINE
CEFACETRILO; CEFACETRIL
CEFROXADINA; CEFROXADINE
CEFTEZOL; CEFTEZOL
CEFOXITINA; CEFOXITIN
CEFUROXIMA; CEFUROXIME
CEFAMANDOL; Cephamandol
CEFACLOR; CEFACLOR
CEFOTETAN; Cephotetan
CEFONICIDA;CEFONICIDE
CEFOTIAM; CEFOTIAM
LORACARBEF; LORACARBEF
CEFMETAZOL; CEFMETAZOL
CEFPROZILO; CEFPROZIL
CEFORANIDA; Cephoranide
CEFMINOX; CEFMINOX
CEFBUPERAZONA; CEFBUPERAZONE
FLOMOXEF; FLOMOXEF
CEFMINOX; CEFMINOX
CEFALOSPORINAS DE SEGUNDA GENERACION NE; SECOND GENERATION CEPHALOSPORINS NE
CEFOTAXIMA; CEFOTAXIME
CEFTAZIDIMA; CEFTAZIDIME
CEFSULODINA; CEFSULODIN
CEFTRIAXONA; CEFTRIAXONE
CEFMENOXIMA; CEFMENOXIME
LATAMOXEF; LATAMOXEF
CEFTIZOXIMA; CEFTIZOXIME
CEFIXIMA; CEFIXIME
CEFODIZIMA; CEPHODIZIME
CEFETAMET; CEFETAMET
CEFPIRAMIDA; CEFPIRAMIDE
CEFOPERAZONA; CEFOPERAZONE
CEFPODOXIMA; CEFPODOXIME
CEFTIBUTENO; CEFTIBUTENE
CEFDINIR; CEFDINIR
CEFDITOREN; CEFDITOREN
CEFCAPENO; CEFCAPENE
CEFTAZIDIMA, COMBINACIONES; CEFTAZIDIME, COMBINATIONS
CEFTRIAXONA EN ASOCIACION; CEFTRIAXONE IN ASSOCIATION
CEFOPERAZONA EN ASOCIACION; CEFOPERAZONE IN ASSOCIATION
CEFEPIMA; CEFEPIMA
CEFPIROMA; CEFPIROMA
CEFOZOPRAN; CEFOZOPRAN
AZTREONAM; AZTREONAM
CARUMOMAM; CARUMOMAM
MEROPENEM; MEROPENEM
ERTAPENEM; ERTAPENEM
DORIPENEM; DORIPENEM
BIAPENEM; BIAPENEM
IMIPENEM ASOC. A INHIBIDOR ENZIMA; IMIPENEM ASSOCIATED WITH ENZYME INHIBITOR
PANIPENEM ASOC. A BETAMIPRON; PANIPENEM ASSOCIATED WITH BETAMIPRON
CEFTOBIPROL MEDOCARIL; CEFTOBIPROL MEDOCARIL
CEFTAROLINA FOSAMIL; CEFTAROLINE FOSAMIL
CEFTOLOZANO Y ENZIMA INHIBIDOR; CEFTOLOZAN AND ENZYME INHIBITOR
TRIMETOPRIM; TRIMETHOPRIM
BRODIMOPRIMA; BRODIMOPRIMA
ICLAPRIM; ICLAPRIM
SULFAMETIZOL; Sulfamethizole
SULFAPIRIDINA; SULFAPIRIDINE
SULFANILAMIDA; SULFANILAMIDE
SULFAMETIZOL+FENAZOPIRIDINA; Sulfamethizole+Phenazopyridine
SULFAMETOXAZOL; SULFAMETHOXAZOLE
SULFADIAZINA; SULFADIAZINE
SULFALENO;Sulfalene
SULFAMETOXIPIRIDAZINA; SULFAMETHOXYPYRIDAZINE
SULFAMAZONA; SULFAMAZONE
COTRIMOXAZOL (SULFAMETOXAZOL+TRIMETOPRIM); COTRIMOXAZOLE (SULFAMETHOXAZOLE+TRIMETHOPRIM)
COTRIMAZINE (SULFADIAZINA+TRIMETOPRIM); COTRIMAZINE (SULFADIAZINE+TRIMETHOPRIM)
COTRIFAMOL (SULFAMOXOL+TRIMETOPRIM); COTRIFAMOL (SULFAMOXOL+TRIMETHOPRIM)
SULFAMERAZINA+TRIMETOPRIM; Sulfamerazine + Trimethoprim
ERITROMICINA; ERYTHROMYCIN
ESPIRAMICINA; Spiramycin
MIDECAMICINA; MIDECAMYCIN
ROXITROMICINA; ROXITHROMYCIN
JOSAMICINA; JOSAMYCIN
CLARITROMICINA; CLARITHROMYCIN
AZITROMICINA; AZITHROMYCIN
MIOCAMICINA; MIOCAMICIN
ROKITAMICINA; ROKITAMYCIN
DIRITROMICINA; DIRITHROMYCIN
FLURITROMICINA; FLURITHROMYCIN
TELITROMICINA; TELITHROMYCIN
CLINDAMICINA; CLINDAMYCIN
LINCOMICINA; LINCOMYCIN
PRISTINAMICINA; PRISTINAMYCIN
QUINUPRISTINA+DALFOPRISTINA; QUINUPRISTIN+DALFOPRISTIN
ESTREPTOMICINA; STREPTOMYCIN
DIHIDROESTREPTOMICINA; DIHYDROSTREPTOMYCIN
TOBRAMICINA; Tobramycin
GENTAMICINA; GENTAMICIN
KANAMICINA; KANAMYCIN
NEOMICINA; NEOMYCIN
AMIKACINA; AMIKACIN
NETILMICINA; NETILMICIN
SISOMICINA; Sisomycin
DIBEKACINA; DIBEKACIN
RIBOSTAMICINA; Ribostamycin
ISEPAMICINA; Isepamycin
ARBEKACINA; ARBEKACINA
BEKANAMICINA; BEKANAMYCIN
OFLOXACINA; OFLOXACIN
CIPROFLOXACINA; CIPROFLOXACIN
PEFLOXACINA; PEFLOXACIN
ENOXACINA; ENOXACIN
TEMAFLOXACINA; TEMAFLOXACIN
NORFLOXACINA; NORFLOXACIN
LOMEFLOXACINO; LOMEFLOXACIN
FEROXACINO; FEROXACIN
SPARFLOXACINO; SPARFLOXACIN
RUFLOXACINO; RUFLOXACIN
GREPAFLOXACINO; GREPAFLOXACIN
LEVOFLOXACINO; LEVOFLOXACIN
TROVAFLOXACINO; TROVAFLOXACIN
MOXIFLOXACINO; MOXIFLOXACIN
GEMIFLOXACINO; GEMIFLOXACIN
GATIFLOXACINO; Gatifloxacin
PRULIFLOXACINO;PRULIFLOXACIN
PAZUFLOXACINO; Pazufloxacin
GARENOXACINO; GARENOXACIN
SITAFLOXACINO; SITAFLOXACIN
FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS) NE; FLUORQUINOLONES (SYSTEMIC ANTIINFECTIVES) NE
ROSOXACINA; ROSOXACIN
NALIDIXICO, ACIDO; NALIDIXIC ACID
PIPEMIDICO, ACIDO; PIPEMIDONIC ACID
OXOLINICO, ACIDO; OXOLINIC ACID
FLUMEQUINA; FLUMEQUINA
PENICILINAS EN ASOCIACION CON OTROS ANTIBACTERIANOS; PENICILLINS IN ASSOCIATION WITH OTHER ANTIBACTERIALS
ESPIRAMICINA ASOC. OTROS ANTIBACTERIANOS; ESPIRAMYCIN ASSOCIATE WITH OTHER ANTIBACTERIALS
ERITROMICINA+FOSFOMICINA; ERYTHROMYCIN+FOSFOMYCIN
VANCOMICINA; VANCOMYCIN
TEICOPLANINA; TEICOPLANIN
TELAVANCINA; TELAVANCIN
DALBAVANCINA; DALBAVANCINA
ORITAVANCINA; ORITAVANCIN
COLISTINA; COLISTIN
POLIMIXINA B; POLYMYXIN B
POLIMIXINAS (ANTIINFECCIOSOS SISTEMICOS) NE; POLYMYXINS (SYSTEMIC ANTIINFECTIVES) NE
FUSIDICO ACIDO; FUSIDICUI ACID
METRONIDAZOL; METRONIDAZOLE
TINIDAZOL; TINIDAZOLE
ORNIDAZOL; ORNIDAZOLE
NITROFURANTOINA; NITROFURANTOIN
FOSFOMICINA; FOSFOMYCIN
CLOFOCTOL; CLOFOCTOL
ESPECTINOMICINA; Spectinomycin
NITROXOLINA; NITROXOLINE
LINEZOLID; LINEZOLID
DAPTOMICINA; DAPTOMYCIN
BACITRACINA; BACITRACIN
TEDIZOLID; TEDIZOLID
OTROS ANTIBACTERIANOS (ANTIINFECCIOSOS SISTEMICOS) NE; OTHER ANTIBACTERIALS (SYSTEMIC ANTIINFECTIOUS) NE
ANFOTERICINA B; AMPHOTERICIN B
HACHIMICINA; HACHIMICINE
MICONAZOL; Miconazole
KETOCONAZOL; KETOCONAZOLE
CASPOFUNGINA; CASPOFUNGIN
FLUCONAZOL; FLUCONAZOLE
ITRACONAZOL; ITRACONAZOLE
VORICONAZOL; VORICONAZOLE
POSACONAZOL; POSACONAZOLE
ISAVUCONAZOL; ISAVUCONAZOLE
FLUCITOSINA; FLUCYTOSINE
CASPOFUNGINA; CASPOFUNGIN
MICAFUNGINA; Micafungin
ANIDULAFUNGINA; ANIDULAFUNGIN
P-AMINOSALICILICO ACIDO; P-Aminosalicylic Acid
CICLOSERINA; CYCLOSERINE
RIFAMPICINA; RIFAMPICIN
RIFAMICINA; Rifamycin
RIFABUTINA; RIFABUTIN
CAPREOMICINA; CAPREOMYCIN
ISONIAZIDA; ISONIAZIDE
ISONIAZIDA EN ASOCIACION; ISONIAZIDE IN ASSOCIATION
ISONIAZIDA ASOCIADA A CORTICOIDE; ISONIAZIDE ASSOCIATED WITH CORTICOID
